INSTANCESITUATION,FIRSTOCCURRENCE_UTC,Interval
Disk service queue full,1464876085,0
Percent cpu idle,1464876085,0
Disk service queue full,1464876085,60
Disk service queue full,1464876145,60
Disk service queue full,1464876205,480
Percent disk active,1464876685,1320
Disk service queue full,1464878005,958
Percent CPU Utilization,1464878963,722
Disk service queue full,1464879685,61
Percent disk active,1464879746,117
cpu_busy : CPU Status,1464879863,1682
Percent disk active,1464881545,60
Disk service queue full,1464881605,1440
Disk service queue full,1464883045,120
Percent disk active,1464883165,120
Disk service queue full,1464883285,478
cpu_busy : CPU Status,1464883763,900
Percent CPU Utilization,1464884663,482
Percent disk active,1464885145,1140
Percent cpu idle,1464886285,178
Percent CPU Utilization,1464886463,182
Percent disk active,1464886645,360
Disk service queue full,1464887005,300
Disk service queue full,1464887305,1500
Disk service queue full,1464888805,658
cpu_busy : CPU Status,1464889463,182
Percent disk active,1464889645,118
cpu_busy : CPU Status,1464889763,300
Percent CPU Utilization,1464890063,542
Disk service queue full,1464890605,540
Percent cpu idle,1464891145,1318
cpu_busy : CPU Status,1464892463,482
Percent disk active,1464892945,300
Percent disk active,1464893245,180
Disk service queue full,1464893425,420
Disk service queue full,1464893845,240
Disk service queue full,1464894085,180
Disk service queue full,1464894265,540
Percent cpu idle,1464894805,1620
Disk service queue full,1464896425,360
Percent disk active,1464896785,180
Percent disk active,1464896965,60
Percent disk active,1464897025,838
Percent CPU Utilization,1464897863,239
Percent CPU Utilization,1464898102,361
cpu_busy : CPU Status,1464898463,2
Percent cpu idle,1464898465,420
Percent cpu idle,1464898885,720
Disk service queue full,1464899605,58
Percent CPU Utilization,1464899663,1202
Disk service queue full,1464900865,420
Disk service queue full,1464901285,0
Percent disk active,1464901285,417
Percent CPU Utilization,1464901702,783
Percent cpu idle,1464902485,420
Percent space used,1464902905,1197
Percent CPU Utilization,1464904102,61
Percent CPU Utilization,1464904163,362
Percent cpu idle,1464904525,422
Percent cpu idle,1464904947,1978
Percent disk active,1464906925,58
15 Minute Average PageIn/PageOut,1464906983,2
Percent disk active,1464906985,600
Disk service queue full,1464907585,118
15 Minute Average PageIn/PageOut,1464907703,62
Disk service queue full,1464907765,780
Percent cpu idle,1464908545,118
Percent CPU Utilization,1464908663,723
Percent cpu idle,1464909386,957
15 Minute Average PageIn/PageOut,1464910343,3
Percent disk active,1464910346,660
Percent cpu idle,1464911006,957
Percent CPU Utilization,1464911963,122
Percent disk active,1464912085,118
15 Minute Average PageIn/PageOut,1464912203,660
cpu_busy : CPU Status,1464912863,2582
Percent cpu idle,1464915445,0
Disk service queue full,1464915445,240
Disk service queue full,1464915685,59
Percent space used,1464915744,121
Disk service queue full,1464915865,658
15 Minute Average PageIn/PageOut,1464916523,122
Percent disk active,1464916645,421
Percent cpu idle,1464917066,237
Service status,1464917303,60
cpu_busy : CPU Status,1464917363,2882
Percent disk active,1464920245,61
Percent cpu idle,1464920306,57
Percent CPU Utilization,1464920363,783
Percent cpu idle,1464921146,1017
cpu_busy : CPU Status,1464922163,0
cpu_busy : CPU Status,1464922163,722
Disk service queue full,1464922885,60
Percent disk active,1464922945,57
Percent CPU Utilization,1464923002,361
cpu_busy : CPU Status,1464923363,0
Percent CPU Utilization,1464923363,2
Disk service queue full,1464923365,181
Percent cpu idle,1464923546,177
15 Minute Average PageIn/PageOut,1464923723,2
Disk service queue full,1464923725,60
Disk service queue full,1464923785,1620
Disk service queue full,1464925405,60
Percent space used,1464925465,598
Percent CPU Utilization,1464926063,2
Percent space used,1464926065,298
Percent CPU Utilization,1464926363,182
Percent disk active,1464926545,1618
cpu_busy : CPU Status,1464928163,1502
Percent space used,1464929665,360
Disk service queue full,1464930025,60
Disk service queue full,1464930085,118
15 Minute Average PageIn/PageOut,1464930203,60
15 Minute Average PageIn/PageOut,1464930263,60
15 Minute Average PageIn/PageOut,1464930323,240
Percent CPU Utilization,1464930563,2100
cpu_busy : CPU Status,1464932663,600
Percent CPU Utilization,1464933263,660
15 Minute Average PageIn/PageOut,1464933923,182
Disk service queue full,1464934105,598
15 Minute Average PageIn/PageOut,1464934703,842
Percent disk active,1464935545,118
Percent CPU Utilization,1464935663,182
Disk service queue full,1464935845,118
cpu_busy : CPU Status,1464935963,303
Percent space used,1464936266,1079
Disk service queue full,1464937345,120
Percent disk active,1464937465,0
Disk service queue full,1464937465,300
Disk service queue full,1464937765,0
Disk service queue full,1464937765,658
15 Minute Average PageIn/PageOut,1464938423,182
Disk service queue full,1464938605,1858
Percent CPU Utilization,1464940463,903
Percent space used,1464941366,357
15 Minute Average PageIn/PageOut,1464941723,1140
Percent CPU Utilization,1464942863,31
Percent space used,1464942894,572
Percent space used,1464943466,179
Percent disk active,1464943645,60
Disk service queue full,1464943705,118
15 Minute Average PageIn/PageOut,1464943823,542
Percent disk active,1464944365,420
Percent disk active,1464944785,478
15 Minute Average PageIn/PageOut,1464945263,900
15 Minute Average PageIn/PageOut,1464946163,15
URL Issue,1464946178,106
Percent space used,1464946284,454
Percent space used,1464946738,0
Percent space used,1464946738,25
15 Minute Average PageIn/PageOut,1464946763,241
Percent space used,1464947004,1019
15 Minute Average PageIn/PageOut,1464948023,840
cpu_busy : CPU Status,1464948863,242
Disk service queue full,1464949105,238
15 Minute Average PageIn/PageOut,1464949343,360
Service status,1464949703,180
15 Minute Average PageIn/PageOut,1464949883,2
Disk service queue full,1464949885,778
cpu_busy : CPU Status,1464950663,300
Percent CPU Utilization,1464950963,0
15 Minute Average PageIn/PageOut,1464950963,782
Disk service queue full,1464951745,0
Disk service queue full,1464951745,1
Percent cpu idle,1464951746,0
Percent cpu idle,1464951746,179
Disk service queue full,1464951925,60
Disk service queue full,1464951985,538
15 Minute Average PageIn/PageOut,1464952523,482
Percent disk active,1464953005,600
Disk service queue full,1464953605,958
cpu_busy : CPU Status,1464954563,782
Disk service queue full,1464955345,1
Percent cpu idle,1464955346,117
Percent CPU Utilization,1464955463,540
15 Minute Average PageIn/PageOut,1464956003,660
15 Minute Average PageIn/PageOut,1464956663,3
Percent space used,1464956666,57
15 Minute Average PageIn/PageOut,1464956723,2340
Percent CPU Utilization,1464959063,124
Disk service queue full,1464959187,58
Disk service queue full,1464959245,0
Disk service queue full,1464959245,240
Disk service queue full,1464959485,3000
Disk service queue full,1464962485,0
Disk service queue full,1464962485,0
Disk service queue full,1464962485,0
Disk service queue full,1464962485,0
Disk service queue full,1464962485,0
Disk service queue full,1464962485,0
Disk service queue full,1464962485,1
Percent cpu idle,1464962486,0
Disk service queue full,1464962486,0
Percent cpu idle,1464962486,0
Disk service queue full,1464962486,0
Disk service queue full,1464962486,119
Percent disk active,1464962605,59
Percent space used,1464962664,30
Percent space used,1464962694,689
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,60
15 Minute Average PageIn/PageOut,1464963443,0
15 Minute Average PageIn/PageOut,1464963443,0
15 Minute Average PageIn/PageOut,1464963443,0
15 Minute Average PageIn/PageOut,1464963443,0
15 Minute Average PageIn/PageOut,1464963443,1
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,59
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,1
15 Minute Average PageIn/PageOut,1464963504,0
15 Minute Average PageIn/PageOut,1464963504,59
15 Minute Average PageIn/PageOut,1464963563,0
15 Minute Average PageIn/PageOut,1464963563,0
15 Minute Average PageIn/PageOut,1464963563,60
15 Minute Average PageIn/PageOut,1464963623,60
15 Minute Average PageIn/PageOut,1464963683,0
15 Minute Average PageIn/PageOut,1464963683,783
Percent disk active,1464964466,897
Percent CPU Utilization,1464965363,0
Percent CPU Utilization,1464965363,662
Disk service queue full,1464966025,60
Disk service queue full,1464966085,840
Percent disk active,1464966925,1438
Percent CPU Utilization,1464968363,1175
Percent space used,1464969538,0
Percent space used,1464969538,147
Disk service queue full,1464969685,60
Disk service queue full,1464969745,59
Percent space used,1464969804,299
15 Minute Average PageIn/PageOut,1464970103,480
15 Minute Average PageIn/PageOut,1464970583,781
Service status,1464971364,0
Service status,1464971364,0
Service status,1464971364,0
Service status,1464971364,299
Percent CPU Utilization,1464971663,2
Percent disk active,1464971665,0
Disk service queue full,1464971665,58
15 Minute Average PageIn/PageOut,1464971723,900
15 Minute Average PageIn/PageOut,1464972623,541
Service status,1464973164,0
Service status,1464973164,301
Disk service queue full,1464973465,598
Percent CPU Utilization,1464974063,2
Percent disk active,1464974065,1200
Disk service queue full,1464975265,1320
Percent disk active,1464976585,480
Disk service queue full,1464977065,298
Percent CPU Utilization,1464977363,1380
15 Minute Average PageIn/PageOut,1464978743,842
Disk service queue full,1464979585,240
Percent disk active,1464979825,420
Disk service queue full,1464980245,301
Percent cpu idle,1464980546,119
Disk service queue full,1464980665,0
Disk service queue full,1464980665,1740
Disk service queue full,1464982405,60
Disk service queue full,1464982465,300
Disk service queue full,1464982765,898
Percent CPU Utilization,1464983663,422
Disk service queue full,1464984085,180
Disk service queue full,1464984265,1800
Disk service queue full,1464986065,1620
Disk service queue full,1464987685,153
Percent space used,1464987838,0
Percent space used,1464987838,625
Percent CPU Utilization,1464988463,1202
Disk service queue full,1464989665,960
Percent disk active,1464990625,660
Disk service queue full,1464991285,178
Percent CPU Utilization,1464991463,932
Percent space used,1464992395,30
Disk service queue full,1464992425,360
Disk service queue full,1464992785,538
15 Minute Average PageIn/PageOut,1464993323,60
15 Minute Average PageIn/PageOut,1464993383,602
Disk service queue full,1464993985,240
Percent disk active,1464994225,121
Percent disk active,1464994346,1679
Disk service queue full,1464996025,238
Percent CPU Utilization,1464996263,540
15 Minute Average PageIn/PageOut,1464996803,63
Percent disk active,1464996866,1977
15 Minute Average PageIn/PageOut,1464998843,1023
Percent disk active,1464999866,479
Percent disk active,1465000345,118
Percent CPU Utilization,1465000463,2
Disk service queue full,1465000465,1198
Percent CPU Utilization,1465001663,182
Disk service queue full,1465001845,210
Percent space used,1465002055,91
Disk service queue full,1465002146,120
Disk service queue full,1465002266,419
Percent disk active,1465002685,1381
Disk service queue full,1465004066,597
Percent CPU Utilization,1465004663,122
Disk service queue full,1465004785,900
Percent disk active,1465005685,181
Disk service queue full,1465005866,1799
Disk service queue full,1465007665,1620
Disk service queue full,1465009285,61
Disk service queue full,1465009346,838
15 Minute Average PageIn/PageOut,1465010184,779
Percent CPU Utilization,1465010963,903
Disk service queue full,1465011866,897
Percent CPU Utilization,1465012763,1023
Disk service queue full,1465013786,1377
Percent CPU Utilization,1465015163,1082
Disk service queue full,1465016245,241
Disk service queue full,1465016486,780
Disk service queue full,1465017266,2697
Percent CPU Utilization,1465019963,1923
Disk service queue full,1465021886,180
Disk service queue full,1465022066,1620
Disk service queue full,1465023686,900
Disk service queue full,1465024586,58
15 Minute Average PageIn/PageOut,1465024644,2282
Percent disk active,1465026926,2160
Disk service queue full,1465029086,780
Percent space used,1465029866,249
Percent space used,1465030115,51
Percent space used,1465030166,0
Percent space used,1465030166,720
Disk service queue full,1465030886,1077
Percent CPU Utilization,1465031963,600
Percent CPU Utilization,1465032563,303
Disk service queue full,1465032866,480
Disk service queue full,1465033346,1140
Disk service queue full,1465034486,180
Disk service queue full,1465034666,1197
Percent CPU Utilization,1465035863,423
Disk service queue full,1465036286,180
Disk service queue full,1465036466,1197
Percent CPU Utilization,1465037663,483
Percent cpu idle,1465038146,0
Disk service queue full,1465038146,0
Percent cpu idle,1465038146,120
Disk service queue full,1465038266,120
Disk service queue full,1465038386,1105
ccc_erp_xul2_std,1465039491,872
Percent CPU Utilization,1465040363,1083
Percent cpu idle,1465041446,240
Disk service queue full,1465041686,0
Disk service queue full,1465041686,0
Disk service queue full,1465041686,420
Disk service queue full,1465042106,57
Percent CPU Utilization,1465042163,421
15 Minute Average PageIn/PageOut,1465042584,240
15 Minute Average PageIn/PageOut,1465042824,1022
Disk service queue full,1465043846,1560
Disk service queue full,1465045406,180
Disk service queue full,1465045586,60
Disk service queue full,1465045646,0
Disk service queue full,1465045646,2517
Percent CPU Utilization,1465048163,723
Disk service queue full,1465048886,0
Disk service queue full,1465048886,0
Percent cpu idle,1465048886,0
Disk service queue full,1465048886,0
Percent cpu idle,1465048886,0
Disk service queue full,1465048886,0
Disk service queue full,1465048886,60
Disk service queue full,1465048946,60
Disk service queue full,1465049006,0
Disk service queue full,1465049006,57
Percent CPU Utilization,1465049063,661
15 Minute Average PageIn/PageOut,1465049724,0
15 Minute Average PageIn/PageOut,1465049724,60
15 Minute Average PageIn/PageOut,1465049784,0
15 Minute Average PageIn/PageOut,1465049784,0
15 Minute Average PageIn/PageOut,1465049784,0
15 Minute Average PageIn/PageOut,1465049784,120
15 Minute Average PageIn/PageOut,1465049904,602
Percent disk active,1465050506,957
Percent CPU Utilization,1465051463,300
Percent CPU Utilization,1465051763,361
15 Minute Average PageIn/PageOut,1465052124,362
Disk service queue full,1465052486,120
Disk service queue full,1465052606,3057
Percent CPU Utilization,1465055663,423
Disk service queue full,1465056086,120
Disk service queue full,1465056206,118
15 Minute Average PageIn/PageOut,1465056324,539
Percent CPU Utilization,1465056863,301
15 Minute Average PageIn/PageOut,1465057164,540
15 Minute Average PageIn/PageOut,1465057704,62
Disk service queue full,1465057766,1020
Disk service queue full,1465058786,1020
Disk service queue full,1465059806,1557
Percent CPU Utilization,1465061363,240
Service status,1465061603,3
Disk service queue full,1465061606,1620
Disk service queue full,1465063226,300
Disk service queue full,1465063526,213
Percent space used,1465063739,0
Percent space used,1465063739,24
Percent CPU Utilization,1465063763,300
Percent CPU Utilization,1465064063,1
15 Minute Average PageIn/PageOut,1465064064,1139
Service status,1465065203,300
Service status,1465065503,483
Disk service queue full,1465065986,177
Percent CPU Utilization,1465066163,483
Disk service queue full,1465066646,420
Disk service queue full,1465067066,237
Service status,1465067303,300
Service status,1465067603,0
Service status,1465067603,360
Percent CPU Utilization,1465067963,212
Percent space used,1465068175,64
Percent space used,1465068239,0
Percent space used,1465068239,745
15 Minute Average PageIn/PageOut,1465068984,779
Percent CPU Utilization,1465069763,1384
Percent cpu idle,1465071147,416
Percent CPU Utilization,1465071563,1323
Disk service queue full,1465072886,29
Percent space used,1465072915,148
Percent CPU Utilization,1465073063,602
Service status,1465073665,421
Disk service queue full,1465074086,660
Percent cpu idle,1465074746,1020
Percent disk active,1465075766,240
Disk service queue full,1465076006,357
Percent CPU Utilization,1465076363,1800
Percent CPU Utilization,1465078163,601
15 Minute Average PageIn/PageOut,1465078764,422
Disk service queue full,1465079186,477
Percent CPU Utilization,1465079663,121
15 Minute Average PageIn/PageOut,1465079784,479
Percent CPU Utilization,1465080263,123
Disk service queue full,1465080386,479
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,300
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,241
Disk service queue full,1465081406,59
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,961
Disk service queue full,1465082426,718
15 Minute Average PageIn/PageOut,1465083144,1140
15 Minute Average PageIn/PageOut,1465084284,1379
Percent CPU Utilization,1465085663,2583
Disk service queue full,1465088246,117
Percent CPU Utilization,1465088363,122
Percent space used,1465088485,121
Disk service queue full,1465088606,60
Disk service queue full,1465088666,297
Percent CPU Utilization,1465088963,239
Percent CPU Utilization,1465089202,3004
Disk service queue full,1465092206,957
Percent CPU Utilization,1465093163,841
15 Minute Average PageIn/PageOut,1465094004,2
Disk service queue full,1465094006,1680
Disk service queue full,1465095686,0
Disk service queue full,1465095686,0
Disk service queue full,1465095686,60
Disk service queue full,1465095746,60
Disk service queue full,1465095806,360
Disk service queue full,1465096166,418
15 Minute Average PageIn/PageOut,1465096584,2
Disk service queue full,1465096586,777
Percent CPU Utilization,1465097363,2100
Percent CPU Utilization,1465099463,1743
Disk service queue full,1465101206,357
Percent CPU Utilization,1465101563,1323
Disk service queue full,1465102886,0
Disk service queue full,1465102886,180
Percent space used,1465103066,236
Percent CPU Utilization,1465103302,4
Disk service queue full,1465103306,360
Percent space used,1465103666,120
Disk service queue full,1465103786,240
Disk service queue full,1465104026,780
Disk service queue full,1465104806,1557
Percent CPU Utilization,1465106363,1323
Disk service queue full,1465107686,1978
Percent CPU Utilization,1465109664,482
Disk service queue full,1465110146,180
Percent disk active,1465110326,660
Disk service queue full,1465110986,480
Percent disk active,1465111466,300
Percent space used,1465111766,1797
Percent CPU Utilization,1465113563,1803
Disk service queue full,1465115366,297
Percent CPU Utilization,1465115663,601
Percent CPU Utilization,1465116264,122
Disk service queue full,1465116386,178
15 Minute Average PageIn/PageOut,1465116564,2
Percent space used,1465116566,720
Disk service queue full,1465117286,1800
Disk service queue full,1465119086,178
Percent CPU Utilization,1465119264,300
Percent CPU Utilization,1465119564,1742
Disk service queue full,1465121306,658
Percent CPU Utilization,1465121964,1200
Percent CPU Utilization,1465123164,300
Percent CPU Utilization,1465123464,1082
Disk service queue full,1465124546,0
Disk service queue full,1465124546,0
Percent cpu idle,1465124546,0
Percent cpu idle,1465124546,60
Disk service queue full,1465124606,180
Disk service queue full,1465124786,178
Percent CPU Utilization,1465124964,600
Percent CPU Utilization,1465125564,2522
Disk service queue full,1465128086,0
Disk service queue full,1465128086,60
Percent cpu idle,1465128146,0
Disk service queue full,1465128146,121
Disk service queue full,1465128267,837
15 Minute Average PageIn/PageOut,1465129104,662
ccc_pgspc_xuxw_std,1465129766,240
Disk service queue full,1465130006,958
Percent CPU Utilization,1465130964,842
Disk service queue full,1465131806,180
Disk service queue full,1465131986,60
Disk service queue full,1465132046,718
Percent CPU Utilization,1465132764,842
Disk service queue full,1465133606,1378
15 Minute Average PageIn/PageOut,1465134984,302
Percent cpu idle,1465135286,0
Disk service queue full,1465135286,0
Disk service queue full,1465135286,0
Disk service queue full,1465135286,0
Percent cpu idle,1465135286,0
Disk service queue full,1465135286,0
Disk service queue full,1465135286,60
Disk service queue full,1465135346,118
Percent CPU Utilization,1465135464,600
Percent CPU Utilization,1465136064,1500
Percent CPU Utilization,1465137564,300
Percent CPU Utilization,1465137864,300
Percent CPU Utilization,1465138164,360
15 Minute Average PageIn/PageOut,1465138524,362
Disk service queue full,1465138886,60
Disk service queue full,1465138946,60
Disk service queue full,1465139006,1797
Service status,1465140803,783
Disk service queue full,1465141586,598
15 Minute Average PageIn/PageOut,1465142184,302
Disk service queue full,1465142486,120
Disk service queue full,1465142606,1800
Disk service queue full,1465144406,1080
Percent disk active,1465145486,61
Percent disk active,1465145547,1617
Percent CPU Utilization,1465147164,842
Disk service queue full,1465148006,780
Disk service queue full,1465148786,1020
Disk service queue full,1465149806,658
Percent CPU Utilization,1465150464,1142
Disk service queue full,1465151606,1440
Disk service queue full,1465153046,360
Disk service queue full,1465153406,60
Disk service queue full,1465153466,2520
Disk service queue full,1465155986,1020
Disk service queue full,1465157006,480
Disk service queue full,1465157486,178
Percent CPU Utilization,1465157664,1142
Disk service queue full,1465158806,658
Percent CPU Utilization,1465159464,2942
Disk service queue full,1465162406,0
Percent disk active,1465162406,60
Percent disk active,1465162466,60
Percent space used,1465162526,1076
Percent CPU Utilization,1465163602,484
Disk service queue full,1465164086,778
Percent CPU Utilization,1465164864,722
Disk service queue full,1465165586,420
Disk service queue full,1465166006,120
Percent disk active,1465166126,58
15 Minute Average PageIn/PageOut,1465166184,602
Disk service queue full,1465166786,900
Percent disk active,1465167686,478
Percent CPU Utilization,1465168164,662
Disk service queue full,1465168826,658
15 Minute Average PageIn/PageOut,1465169484,480
Percent CPU Utilization,1465169964,62
Percent disk active,1465170026,60
Percent disk active,1465170086,1678
Percent CPU Utilization,1465171764,1442
Disk service queue full,1465173206,1440
Disk service queue full,1465174646,118
Percent CPU Utilization,1465174764,121
Percent space used,1465174885,61
Disk service queue full,1465174946,120
Disk service queue full,1465175066,1740
Disk service queue full,1465176806,1258
Percent CPU Utilization,1465178064,422
Disk service queue full,1465178486,120
Disk service queue full,1465178606,1800
Disk service queue full,1465180406,1680
Disk service queue full,1465182086,0
Disk service queue full,1465182086,60
Disk service queue full,1465182146,180
Disk service queue full,1465182326,240
Disk service queue full,1465182566,240
Disk service queue full,1465182806,60
Disk service queue full,1465182866,238
15 Minute Average PageIn/PageOut,1465183104,60
Percent CPU Utilization,1465183164,0
15 Minute Average PageIn/PageOut,1465183164,60
15 Minute Average PageIn/PageOut,1465183224,1440
Percent CPU Utilization,1465184664,1200
Percent CPU Utilization,1465185864,722
Disk service queue full,1465186586,60
Disk service queue full,1465186646,1318
Percent CPU Utilization,1465187964,962
Disk service queue full,1465188926,360
Disk service queue full,1465189286,1381
Percent space used,1465190667,300
Percent space used,1465190967,835
Percent CPU Utilization,1465191802,62
Percent CPU Utilization,1465191864,1922
Disk service queue full,1465193786,2578
