INSTANCESITUATION,FIRSTOCCURRENCE_UTC,Interval
Percent disk active,1465026926,780
Disk service queue full,1465029086,249
Percent space used,1465029866,51
Percent space used,1465030115,0
Percent space used,1465030166,720
Percent space used,1465030166,1077
Disk service queue full,1465030886,600
Percent CPU Utilization,1465031963,303
Percent CPU Utilization,1465032563,480
Disk service queue full,1465032866,1140
Disk service queue full,1465033346,180
Disk service queue full,1465034486,1197
Disk service queue full,1465034666,423
Percent CPU Utilization,1465035863,180
Disk service queue full,1465036286,1197
Disk service queue full,1465036466,483
Percent CPU Utilization,1465037663,0
Percent cpu idle,1465038146,0
Disk service queue full,1465038146,120
Percent cpu idle,1465038146,120
Disk service queue full,1465038266,1105
Disk service queue full,1465038386,872
ccc_erp_xul2_std,1465039491,1083
Percent CPU Utilization,1465040363,240
Percent cpu idle,1465041446,0
Disk service queue full,1465041686,0
Disk service queue full,1465041686,57
Disk service queue full,1465041686,420
Disk service queue full,1465042106,421
Percent CPU Utilization,1465042163,240
15 Minute Average PageIn/PageOut,1465042584,1022
15 Minute Average PageIn/PageOut,1465042824,1560
Disk service queue full,1465043846,180
Disk service queue full,1465045406,60
Disk service queue full,1465045586,0
Disk service queue full,1465045646,723
Disk service queue full,1465045646,2517
Percent CPU Utilization,1465048163,0
Disk service queue full,1465048886,0
Disk service queue full,1465048886,0
Percent cpu idle,1465048886,0
Disk service queue full,1465048886,0
Percent cpu idle,1465048886,0
Disk service queue full,1465048886,60
Disk service queue full,1465048886,60
Disk service queue full,1465048946,0
Disk service queue full,1465049006,57
Disk service queue full,1465049006,661
Percent CPU Utilization,1465049063,0
15 Minute Average PageIn/PageOut,1465049724,0
15 Minute Average PageIn/PageOut,1465049724,60
15 Minute Average PageIn/PageOut,1465049784,0
15 Minute Average PageIn/PageOut,1465049784,0
15 Minute Average PageIn/PageOut,1465049784,120
15 Minute Average PageIn/PageOut,1465049784,602
15 Minute Average PageIn/PageOut,1465049904,957
Percent disk active,1465050506,300
Percent CPU Utilization,1465051463,361
Percent CPU Utilization,1465051763,362
15 Minute Average PageIn/PageOut,1465052124,120
Disk service queue full,1465052486,3057
Disk service queue full,1465052606,423
Percent CPU Utilization,1465055663,120
Disk service queue full,1465056086,118
Disk service queue full,1465056206,539
15 Minute Average PageIn/PageOut,1465056324,301
Percent CPU Utilization,1465056863,540
15 Minute Average PageIn/PageOut,1465057164,62
15 Minute Average PageIn/PageOut,1465057704,1020
Disk service queue full,1465057766,1020
Disk service queue full,1465058786,1557
Disk service queue full,1465059806,240
Percent CPU Utilization,1465061363,3
Service status,1465061603,1620
Disk service queue full,1465061606,300
Disk service queue full,1465063226,213
Disk service queue full,1465063526,0
Percent space used,1465063739,24
Percent space used,1465063739,300
Percent CPU Utilization,1465063763,1
Percent CPU Utilization,1465064063,1139
15 Minute Average PageIn/PageOut,1465064064,300
Service status,1465065203,483
Service status,1465065503,177
Disk service queue full,1465065986,483
Percent CPU Utilization,1465066163,420
Disk service queue full,1465066646,237
Disk service queue full,1465067066,300
Service status,1465067303,0
Service status,1465067603,212
Service status,1465067603,360
Percent CPU Utilization,1465067963,64
Percent space used,1465068175,0
Percent space used,1465068239,745
Percent space used,1465068239,779
15 Minute Average PageIn/PageOut,1465068984,1384
Percent CPU Utilization,1465069763,416
Percent cpu idle,1465071147,1323
Percent CPU Utilization,1465071563,29
Disk service queue full,1465072886,148
Percent space used,1465072915,602
Percent CPU Utilization,1465073063,421
Service status,1465073665,660
Disk service queue full,1465074086,1020
Percent cpu idle,1465074746,240
Percent disk active,1465075766,357
Disk service queue full,1465076006,1800
Percent CPU Utilization,1465076363,601
Percent CPU Utilization,1465078163,422
15 Minute Average PageIn/PageOut,1465078764,477
Disk service queue full,1465079186,121
Percent CPU Utilization,1465079663,479
15 Minute Average PageIn/PageOut,1465079784,123
Percent CPU Utilization,1465080263,479
Disk service queue full,1465080386,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,0
Service status,1465080865,300
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,0
Service status,1465081165,59
Service status,1465081165,241
Disk service queue full,1465081406,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,0
Service status,1465081465,718
Service status,1465081465,961
Disk service queue full,1465082426,1140
15 Minute Average PageIn/PageOut,1465083144,1379
15 Minute Average PageIn/PageOut,1465084284,2583
Percent CPU Utilization,1465085663,117
Disk service queue full,1465088246,122
Percent CPU Utilization,1465088363,121
Percent space used,1465088485,60
Disk service queue full,1465088606,297
Disk service queue full,1465088666,239
Percent CPU Utilization,1465088963,3004
Percent CPU Utilization,1465089202,957
Disk service queue full,1465092206,841
Percent CPU Utilization,1465093163,2
15 Minute Average PageIn/PageOut,1465094004,1680
Disk service queue full,1465094006,0
Disk service queue full,1465095686,0
Disk service queue full,1465095686,60
Disk service queue full,1465095686,60
Disk service queue full,1465095746,360
Disk service queue full,1465095806,418
Disk service queue full,1465096166,2
15 Minute Average PageIn/PageOut,1465096584,777
Disk service queue full,1465096586,2100
Percent CPU Utilization,1465097363,1743
Percent CPU Utilization,1465099463,357
Disk service queue full,1465101206,1323
Percent CPU Utilization,1465101563,0
Disk service queue full,1465102886,180
Disk service queue full,1465102886,236
Percent space used,1465103066,4
Percent CPU Utilization,1465103302,360
Disk service queue full,1465103306,120
Percent space used,1465103666,240
Disk service queue full,1465103786,780
Disk service queue full,1465104026,1557
Disk service queue full,1465104806,1323
Percent CPU Utilization,1465106363,1978
Disk service queue full,1465107686,482
Percent CPU Utilization,1465109664,180
Disk service queue full,1465110146,660
Percent disk active,1465110326,480
Disk service queue full,1465110986,300
Percent disk active,1465111466,1797
Percent space used,1465111766,1803
Percent CPU Utilization,1465113563,297
Disk service queue full,1465115366,601
Percent CPU Utilization,1465115663,122
Percent CPU Utilization,1465116264,178
Disk service queue full,1465116386,2
15 Minute Average PageIn/PageOut,1465116564,720
Percent space used,1465116566,1800
Disk service queue full,1465117286,178
Disk service queue full,1465119086,300
Percent CPU Utilization,1465119264,1742
Percent CPU Utilization,1465119564,658
Disk service queue full,1465121306,1200
Percent CPU Utilization,1465121964,300
Percent CPU Utilization,1465123164,1082
Percent CPU Utilization,1465123464,0
Disk service queue full,1465124546,0
Disk service queue full,1465124546,0
Percent cpu idle,1465124546,60
Percent cpu idle,1465124546,180
Disk service queue full,1465124606,178
Disk service queue full,1465124786,600
Percent CPU Utilization,1465124964,2522
Percent CPU Utilization,1465125564,0
Disk service queue full,1465128086,0
Disk service queue full,1465128086,60
Percent cpu idle,1465128146,121
Disk service queue full,1465128146,837
Disk service queue full,1465128267,662
15 Minute Average PageIn/PageOut,1465129104,240
ccc_pgspc_xuxw_std,1465129766,958
Disk service queue full,1465130006,842
Percent CPU Utilization,1465130964,180
Disk service queue full,1465131806,60
Disk service queue full,1465131986,718
Disk service queue full,1465132046,842
Percent CPU Utilization,1465132764,1378
Disk service queue full,1465133606,302
15 Minute Average PageIn/PageOut,1465134984,0
Percent cpu idle,1465135286,0
Disk service queue full,1465135286,0
Disk service queue full,1465135286,0
Disk service queue full,1465135286,0
Percent cpu idle,1465135286,0
Disk service queue full,1465135286,60
Disk service queue full,1465135286,118
Disk service queue full,1465135346,600
Percent CPU Utilization,1465135464,1500
Percent CPU Utilization,1465136064,300
Percent CPU Utilization,1465137564,300
Percent CPU Utilization,1465137864,360
Percent CPU Utilization,1465138164,362
15 Minute Average PageIn/PageOut,1465138524,60
Disk service queue full,1465138886,60
Disk service queue full,1465138946,1797
Disk service queue full,1465139006,783
Service status,1465140803,598
Disk service queue full,1465141586,302
15 Minute Average PageIn/PageOut,1465142184,120
Disk service queue full,1465142486,1800
Disk service queue full,1465142606,1080
Disk service queue full,1465144406,61
Percent disk active,1465145486,1617
Percent disk active,1465145547,842
Percent CPU Utilization,1465147164,780
Disk service queue full,1465148006,1020
Disk service queue full,1465148786,658
Disk service queue full,1465149806,1142
Percent CPU Utilization,1465150464,1440
Disk service queue full,1465151606,360
Disk service queue full,1465153046,60
Disk service queue full,1465153406,2520
Disk service queue full,1465153466,1020
Disk service queue full,1465155986,480
Disk service queue full,1465157006,178
Disk service queue full,1465157486,1142
Percent CPU Utilization,1465157664,658
Disk service queue full,1465158806,2942
Percent CPU Utilization,1465159464,0
Disk service queue full,1465162406,60
Percent disk active,1465162406,60
Percent disk active,1465162466,1076
Percent space used,1465162526,484
Percent CPU Utilization,1465163602,778
Disk service queue full,1465164086,722
Percent CPU Utilization,1465164864,420
Disk service queue full,1465165586,120
Disk service queue full,1465166006,58
Percent disk active,1465166126,602
15 Minute Average PageIn/PageOut,1465166184,900
Disk service queue full,1465166786,478
Percent disk active,1465167686,662
Percent CPU Utilization,1465168164,658
Disk service queue full,1465168826,480
15 Minute Average PageIn/PageOut,1465169484,62
Percent CPU Utilization,1465169964,60
Percent disk active,1465170026,1678
Percent disk active,1465170086,1442
Percent CPU Utilization,1465171764,1440
Disk service queue full,1465173206,118
Disk service queue full,1465174646,121
Percent CPU Utilization,1465174764,61
Percent space used,1465174885,120
Disk service queue full,1465174946,1740
Disk service queue full,1465175066,1258
Disk service queue full,1465176806,422
Percent CPU Utilization,1465178064,120
Disk service queue full,1465178486,1800
Disk service queue full,1465178606,1680
Disk service queue full,1465180406,0
Disk service queue full,1465182086,60
Disk service queue full,1465182086,180
Disk service queue full,1465182146,240
Disk service queue full,1465182326,240
Disk service queue full,1465182566,60
Disk service queue full,1465182806,238
Disk service queue full,1465182866,60
15 Minute Average PageIn/PageOut,1465183104,0
Percent CPU Utilization,1465183164,60
15 Minute Average PageIn/PageOut,1465183164,1440
15 Minute Average PageIn/PageOut,1465183224,1200
Percent CPU Utilization,1465184664,722
Percent CPU Utilization,1465185864,60
Disk service queue full,1465186586,1318
Disk service queue full,1465186646,962
Percent CPU Utilization,1465187964,360
Disk service queue full,1465188926,1381
Disk service queue full,1465189286,300
Percent space used,1465190667,835
Percent space used,1465190967,62
Percent CPU Utilization,1465191802,1922
Percent CPU Utilization,1465191864,2578
Disk service queue full,1465193786,242
